estab_id,cnpj,razao_social,cnae_original,setor,atividade,regra,fonte,evidencia
53688,30941270000168,HORIZONTE COMERCIO DE VEICULOS LTDA,00000,Não identificado,Não identificado,sem_cnae,CNAE declarada no Portal da Transparência,00000
53689,30942270000182,HOTEL TURISMO AGULHAS NEGRAS LTDA,55108,"Turismo, Hotelaria e Alimentação",Hotéis e hospedagem,cnae_3:551,CNAE declarada no Portal da Transparência,55108
53690,30942418000189,ANDALUS ALIMENTOS E EVENTOS LTDA,56112,"Turismo, Hotelaria e Alimentação",Restaurantes e alimentação,cnae_3:561,CNAE declarada no Portal da Transparência,56112
53691,30947506000173,FOX BRASIL LOGISTICA INTEGRADA LTDA,46893,Comércio Diversificado,Comércio atacadista — diversos,cnae_2:46,CNAE declarada no Portal da Transparência,46893
53692,30949177000108,"JRD SERVICOS DE ORGANIZACAO DE FEIRAS, EXPOSICOES E FESTAS LTDA",82300,Serviços Administrativos e Operacionais,Serviços administrativos,cnae_2:82,CNAE declarada no Portal da Transparência,82300
53693,30949331000133,ALTA CLASSE TRANSPORTES LTDA,49299,Transporte e Logística,Transporte rodoviário de passageiros,cnae_3:492,CNAE declarada no Portal da Transparência,49299
53694,30949535000174,SYNTRONIC HOSPITALAR LTDA,46451,Saúde,Equipamentos médicos,cnae_5:46451,CNAE declarada no Portal da Transparência,46451
53695,30952144000109,"NEUROWELLNESS SAUDE, EDUCACAO E BEM-ESTAR LTDA",86305,Saúde,Consultórios e clínicas,cnae_3:863,CNAE declarada no Portal da Transparência,86305
53696,30953910000150,HOTEL PARAISO TROPICAL LTDA,55108,"Turismo, Hotelaria e Alimentação",Hotéis e hospedagem,cnae_3:551,CNAE declarada no Portal da Transparência,55108
53697,30954573000115,ALVARENGA COMERCIO E NEGOCIOS LTDA,82300,Serviços Administrativos e Operacionais,Serviços administrativos,cnae_2:82,CNAE declarada no Portal da Transparência,82300
53698,30957357000123,SUDAMIN BRASIL REFRATARIOS E MONTAGENS LTDA,00000,Não identificado,Não identificado,sem_cnae,CNAE declarada no Portal da Transparência,00000
53699,30959666000132,"BBS IMPORTACAO EXPORTACAO, REPRESENTACAO COMERCIAL E LOGISTICA DE PRODUTOS AGRICOLAS LTDA",46222,Agropecuária,Comércio de matérias-primas agropecuárias,cnae_3:462,CNAE declarada no Portal da Transparência,46222
53700,30961131000104,COMERCIO DE COMBUSTIVEIS REGIS PROMISSORIA LTDA,47318,"Petróleo, Gás e Combustíveis",Combustíveis,cnae_3:473,CNAE declarada no Portal da Transparência,47318
53701,30961595000102,FOLLOW MED DISTRIBUIDORA DE PRODUTOS MEDICOS LTDA,46451,Saúde,Equipamentos médicos,cnae_5:46451,CNAE declarada no Portal da Transparência,46451
53702,30961647000140,MRD IMPORTACAO E EXPORTACAO LTDA,46494,Comércio Diversificado,Comércio atacadista — diversos,cnae_2:46,CNAE declarada no Portal da Transparência,46494
53703,30963168000163,A V M LOIOLA,55108,"Turismo, Hotelaria e Alimentação",Hotéis e hospedagem,cnae_3:551,CNAE declarada no Portal da Transparência,55108
53704,30963700000142,CATTIS MEDICAL - COMERCIO E IMPORTACAO DE MATERIAIS HOSPITALARES LTDA,46451,Saúde,Equipamentos médicos,cnae_5:46451,CNAE declarada no Portal da Transparência,46451
53705,30963731000101,SARTORI ATACADISTA E INDUSTRIA LTDA,20932,Químico,Químico,cnae_2:20,CNAE declarada no Portal da Transparência,20932
53706,30964103000132,TRADICAO AERO AGRICOLA LTDA,01610,Agropecuária,Serviços agropecuários,cnae_3:016,CNAE declarada no Portal da Transparência,01610
